model,substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,collapsed_q2_edge,tri_naive_all_fire,low,1200,0.5642,0.3417,0.7941,0.935,0.105,0.2533,0.26,0.4358,0.2169,none
27b,base,collapsed_q2_edge,tri_naive_all_fire,medium,1200,0.485,0.255,0.7124,0.8942,0.1667,0.2983,0.3642,0.7975,0.0763,none
27b,base,collapsed_q2_edge,tri_routed_68_20_12,extreme,1200,0.4375,0.2308,0.6535,0.8033,0.2542,0.0758,0.605,1.0958,0.0362,cascade
27b,base,collapsed_q2_edge,tri_routed_68_20_12,high,1200,0.5367,0.3742,0.7145,0.8483,0.1883,0.0517,0.4008,0.8533,0.2326,none
27b,base,collapsed_q2_edge,tri_routed_68_20_12,low,1200,0.6742,0.5133,0.8561,0.9317,0.0992,0.0225,0.2358,0.2942,0.4455,none
27b,base,collapsed_q2_edge,tri_routed_68_20_12,medium,1200,0.615,0.4558,0.7878,0.8725,0.1225,0.0358,0.3283,0.5925,0.356,none
27b,base,collapsed_q2_edge,tri_routed_72_18_10,extreme,1200,0.5042,0.2683,0.6938,0.82,0.2292,0.0608,0.6167,0.9142,0.0924,distractor_capture
27b,base,collapsed_q2_edge,tri_routed_72_18_10,high,1200,0.5233,0.38,0.7139,0.8483,0.1925,0.035,0.3958,0.8542,0.2409,none
27b,base,collapsed_q2_edge,tri_routed_72_18_10,low,1200,0.7042,0.5483,0.8712,0.9192,0.095,0.0133,0.2125,0.245,0.4879,none
27b,base,collapsed_q2_edge,tri_routed_72_18_10,medium,1200,0.6308,0.4942,0.7955,0.8667,0.1458,0.0217,0.2975,0.5258,0.396,none
27b,base,collapsed_q2_edge,tri_stability_70,extreme,1200,0.4658,0.2575,0.658,0.8017,0.2433,0.06,0.6025,1.0958,0.0695,none
27b,base,collapsed_q2_edge,tri_stability_70,high,1200,0.5333,0.39,0.7166,0.865,0.2,0.0425,0.3808,0.8475,0.2487,none
27b,base,collapsed_q2_edge,tri_stability_70,low,1200,0.7008,0.5542,0.8637,0.9083,0.0867,0.0158,0.22,0.2675,0.494,none
27b,base,collapsed_q2_edge,tri_stability_70,medium,1200,0.6383,0.5142,0.7915,0.8858,0.1492,0.02,0.2758,0.5683,0.4149,none
27b,base,collapsed_q2_edge,tri_structural_65,extreme,1200,0.4333,0.2433,0.6453,0.8208,0.2458,0.06,0.6125,1.1875,0.0492,cascade
27b,base,collapsed_q2_edge,tri_structural_65,high,1200,0.4575,0.32,0.6748,0.8475,0.2142,0.045,0.4217,1.0075,0.1626,none
27b,base,collapsed_q2_edge,tri_structural_65,low,1200,0.6475,0.5,0.8418,0.9083,0.0792,0.0292,0.2233,0.3508,0.435,none
27b,base,collapsed_q2_edge,tri_structural_65,medium,1200,0.6125,0.4783,0.7776,0.885,0.14,0.0375,0.2933,0.6492,0.3729,none
27b,base,damaged_q2,baseline,extreme,1200,0.0108,0.0033,0.1464,0.4508,0.4192,0.0358,0.6683,4.0708,-0.3866,cascade
27b,base,damaged_q2,baseline,high,1200,0.0267,0.0225,0.1982,0.4733,0.3683,0.0125,0.4217,3.3383,-0.2912,cascade
27b,base,damaged_q2,baseline,low,1200,0.0675,0.0517,0.3475,0.5808,0.1592,0.0,0.2317,1.9292,-0.1111,classification_miss
27b,base,damaged_q2,baseline,medium,1200,0.0592,0.0517,0.273,0.545,0.2767,0.0033,0.3183,2.7642,-0.1957,classification_miss
27b,base,damaged_q2,cognitive_25_structural_75,extreme,1200,0.5775,0.3367,0.7441,0.8883,0.2083,0.0508,0.53,0.775,0.1829,none
27b,base,damaged_q2,cognitive_25_structural_75,high,1200,0.6233,0.4492,0.7747,0.9175,0.17,0.02,0.3908,0.6583,0.33,none
27b,base,damaged_q2,cognitive_25_structural_75,low,1200,0.7758,0.6275,0.9065,0.9617,0.0633,0.01,0.1958,0.1867,0.5815,none
27b,base,damaged_q2,cognitive_25_structural_75,medium,1200,0.745,0.585,0.8537,0.9342,0.0967,0.0133,0.2683,0.4025,0.5117,none
27b,base,damaged_q2,cognitive_cyber_equal,extreme,1200,0.185,0.11,0.4721,0.8225,0.2925,0.1158,0.5825,2.21,-0.158,primitive_gap
27b,base,damaged_q2,cognitive_cyber_equal,high,1200,0.2708,0.1967,0.5269,0.8617,0.2175,0.0775,0.3875,1.8267,-0.0064,primitive_gap
27b,base,damaged_q2,cognitive_cyber_equal,low,1200,0.3442,0.2558,0.6751,0.9342,0.1267,0.0583,0.2175,0.93,0.1423,none
27b,base,damaged_q2,cognitive_cyber_equal,medium,1200,0.3342,0.2683,0.6049,0.9,0.1767,0.0767,0.2742,1.4625,0.1049,primitive_gap
27b,base,damaged_q2,cognitive_only,extreme,1200,0.0775,0.0442,0.3511,0.7558,0.3317,0.0725,0.6658,2.8558,-0.2659,primitive_gap
27b,base,damaged_q2,cognitive_only,high,1200,0.1708,0.1383,0.4348,0.8092,0.2675,0.0425,0.4033,2.2467,-0.095,primitive_gap
27b,base,damaged_q2,cognitive_only,low,1200,0.2133,0.1575,0.5744,0.8717,0.1458,0.035,0.2575,1.25,0.0236,low_score
27b,base,damaged_q2,cognitive_only,medium,1200,0.2142,0.1717,0.4994,0.8258,0.205,0.0392,0.33,1.87,-0.0176,primitive_gap
27b,base,damaged_q2,cognitive_structural_equal,extreme,1200,0.415,0.2433,0.6384,0.8842,0.2133,0.06,0.565,1.4017,0.0521,none
27b,base,damaged_q2,cognitive_structural_equal,high,1200,0.5183,0.3783,0.6984,0.9117,0.1825,0.0383,0.3933,1.0317,0.2329,none
27b,base,damaged_q2,cognitive_structural_equal,low,1200,0.6125,0.4792,0.8438,0.9758,0.0717,0.0092,0.2217,0.4117,0.4175,none
27b,base,damaged_q2,cognitive_structural_equal,medium,1200,0.5675,0.4592,0.7563,0.9492,0.1267,0.0242,0.2708,0.8458,0.3524,none
27b,base,damaged_q2,cyber_25_structural_75,extreme,1200,0.6033,0.3417,0.748,0.8275,0.1942,0.0483,0.5108,0.7058,0.1976,none
27b,base,damaged_q2,cyber_25_structural_75,high,1200,0.6325,0.4675,0.7756,0.8617,0.16,0.0317,0.3225,0.62,0.3564,none
27b,base,damaged_q2,cyber_25_structural_75,low,1200,0.7583,0.6267,0.8894,0.9175,0.0883,0.0108,0.1808,0.19,0.574,none
27b,base,damaged_q2,cyber_25_structural_75,medium,1200,0.7,0.55,0.8345,0.8842,0.1142,0.035,0.2542,0.4158,0.4676,none
27b,base,damaged_q2,cyber_only,extreme,1200,0.1633,0.085,0.4152,0.71,0.2967,0.1167,0.6058,2.4692,-0.1993,primitive_gap
27b,base,damaged_q2,cyber_only,high,1200,0.2017,0.1425,0.4404,0.7467,0.275,0.0933,0.4275,2.1067,-0.0982,primitive_gap
27b,base,damaged_q2,cyber_only,low,1200,0.2683,0.2142,0.6109,0.8292,0.1075,0.05,0.205,1.1033,0.1003,low_score
27b,base,damaged_q2,cyber_only,medium,1200,0.3025,0.2467,0.5419,0.7958,0.1792,0.0625,0.2808,1.6775,0.0741,primitive_gap
27b,base,damaged_q2,cyber_structural_equal,extreme,1200,0.4983,0.2692,0.6797,0.8125,0.2158,0.0917,0.5367,1.0525,0.0905,none
27b,base,damaged_q2,cyber_structural_equal,high,1200,0.4875,0.3525,0.6832,0.8383,0.1792,0.0642,0.3625,1.0233,0.2058,none
27b,base,damaged_q2,cyber_structural_equal,low,1200,0.585,0.4683,0.8097,0.8917,0.0792,0.0325,0.2083,0.4583,0.3985,none
27b,base,damaged_q2,cyber_structural_equal,medium,1200,0.615,0.4975,0.7738,0.8617,0.1067,0.0283,0.2325,0.7067,0.4059,none
27b,base,damaged_q2,structural_only,extreme,1200,0.4292,0.2433,0.6453,0.77,0.2058,0.0408,0.5717,1.2158,0.0669,none
27b,base,damaged_q2,structural_only,high,1200,0.5142,0.3875,0.6999,0.8067,0.1808,0.0108,0.3792,0.915,0.255,none
27b,base,damaged_q2,structural_only,low,1200,0.6667,0.5383,0.8385,0.865,0.0867,0.0025,0.2192,0.3242,0.4781,none
27b,base,damaged_q2,structural_only,medium,1200,0.6075,0.4758,0.7709,0.8492,0.1258,0.015,0.2883,0.6625,0.3789,none
27b,base,damaged_q2,tri_equal,extreme,1200,0.5542,0.2942,0.7255,0.8975,0.2275,0.1017,0.565,0.855,0.1176,none
27b,base,damaged_q2,tri_equal,high,1200,0.6008,0.4158,0.7554,0.9217,0.1608,0.0692,0.3808,0.7667,0.285,none
27b,base,damaged_q2,tri_equal,low,1200,0.7358,0.565,0.8929,0.9867,0.0725,0.0475,0.2125,0.2392,0.5048,none
