model,substrate,quant,stack,pass_lift,clean_pass_lift,score_lift,cascade_delta,echo_delta,distractor_delta
2b_reference,degraded_instruct,healthy_q6,q2_amplifier_low_echo,0.9038,0.5259,0.9272,0.0671,0.2761,0.2305
2b_reference,degraded_instruct,healthy_q6,q3_routed_tri_68,0.9343,0.753,0.9601,0.0495,0.0421,0.1757
2b_reference,degraded_instruct,healthy_q6,q3_stability_tri_72,0.9304,0.7504,0.9585,0.0521,0.0386,0.178
2b_reference,degraded_instruct,healthy_q6,q4_boundary_pair_72_28,0.9268,0.7461,0.9568,0.0541,0.0346,0.1818
2b_reference,degraded_instruct,healthy_q6,q4_generalist_pair_72_28,0.923,0.7468,0.9561,0.058,0.0254,0.1871
2b_reference,degraded_instruct,healthy_q8,q2_amplifier_low_echo,0.908,0.5437,0.9303,0.0579,0.2863,0.1986
2b_reference,degraded_instruct,healthy_q8,q3_routed_tri_68,0.948,0.7795,0.9656,0.0375,0.0439,0.153
2b_reference,degraded_instruct,healthy_q8,q3_stability_tri_72,0.9491,0.7904,0.9659,0.0348,0.0382,0.1471
2b_reference,degraded_instruct,healthy_q8,q4_boundary_pair_72_28,0.9484,0.7834,0.9662,0.0346,0.038,0.1537
2b_reference,degraded_instruct,healthy_q8,q4_generalist_pair_72_28,0.9448,0.7884,0.9647,0.0386,0.0241,0.1577
2b_reference,degraded_instruct,q8_k_m,q2_amplifier_low_echo,0.9255,0.555,0.9361,0.0489,0.2816,0.1859
2b_reference,degraded_instruct,q8_k_m,q3_routed_tri_68,0.9527,0.7834,0.9674,0.0318,0.0486,0.1462
2b_reference,degraded_instruct,q8_k_m,q3_stability_tri_72,0.9546,0.7995,0.9693,0.0304,0.042,0.1361
2b_reference,degraded_instruct,q8_k_m,q4_boundary_pair_72_28,0.9518,0.7945,0.9676,0.0343,0.0396,0.1402
2b_reference,degraded_instruct,q8_k_m,q4_generalist_pair_72_28,0.9498,0.8057,0.9676,0.032,0.0252,0.138
2b_reference,instruct,base_f16,q2_amplifier_low_echo,0.9245,0.592,0.9402,0.0461,0.2511,0.1714
2b_reference,instruct,base_f16,q3_routed_tri_68,0.9579,0.8184,0.9707,0.0261,0.037,0.1212
2b_reference,instruct,base_f16,q3_stability_tri_72,0.9561,0.8168,0.97,0.0243,0.0338,0.1254
2b_reference,instruct,base_f16,q4_boundary_pair_72_28,0.9613,0.8309,0.9731,0.0261,0.0248,0.1216
2b_reference,instruct,base_f16,q4_generalist_pair_72_28,0.9579,0.8368,0.9711,0.025,0.0166,0.1195
2b_reference,instruct,collapsed_q2_edge,q2_amplifier_low_echo,0.3273,0.1746,0.5672,0.2886,0.2832,0.563
2b_reference,instruct,collapsed_q2_edge,q3_routed_tri_68,0.0961,0.0648,0.3197,0.4448,0.0266,0.568
2b_reference,instruct,collapsed_q2_edge,q3_stability_tri_72,0.1054,0.0732,0.3316,0.4439,0.0332,0.5448
2b_reference,instruct,collapsed_q2_edge,q4_boundary_pair_72_28,0.0455,0.0348,0.2074,0.5561,0.0248,0.5616
2b_reference,instruct,collapsed_q2_edge,q4_generalist_pair_72_28,0.0368,0.0259,0.1935,0.5521,0.0189,0.6309
2b_reference,instruct,damaged_q2,q2_amplifier_low_echo,0.6129,0.3154,0.7749,0.178,0.2611,0.4788
2b_reference,instruct,damaged_q2,q3_routed_tri_68,0.3048,0.2159,0.5638,0.2639,0.0343,0.475
2b_reference,instruct,damaged_q2,q3_stability_tri_72,0.3405,0.2448,0.5889,0.2539,0.032,0.4671
2b_reference,instruct,damaged_q2,q4_boundary_pair_72_28,0.1743,0.1277,0.4297,0.3318,0.0261,0.4746
2b_reference,instruct,damaged_q2,q4_generalist_pair_72_28,0.1496,0.1118,0.4035,0.3398,0.0189,0.4993
2b_reference,instruct,damaged_q3,q2_amplifier_low_echo,0.8329,0.4557,0.8942,0.108,0.2643,0.3354
2b_reference,instruct,damaged_q3,q3_routed_tri_68,0.7866,0.5663,0.8811,0.1237,0.0355,0.3137
2b_reference,instruct,damaged_q3,q3_stability_tri_72,0.8054,0.5902,0.8942,0.1207,0.0334,0.3018
2b_reference,instruct,damaged_q3,q4_boundary_pair_72_28,0.6318,0.4779,0.7873,0.1446,0.0271,0.3109
2b_reference,instruct,damaged_q3,q4_generalist_pair_72_28,0.6089,0.4636,0.7749,0.1521,0.0171,0.3336
2b_reference,instruct,damaged_q4,q2_amplifier_low_echo,0.8718,0.4821,0.9134,0.093,0.2636,0.2946
