model,substrate,quant,stack,family,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,damaged_q2,q3_routed_tri_68,forensic,560,0.8482,0.5946,0.9109,0.9839,0.1089,0.0286,0.3679,0.1375,0.5199,none
27b,base,damaged_q2,q3_routed_tri_68,generalist,560,0.8054,0.5643,0.9017,0.9482,0.1036,0.05,0.3357,0.1446,0.4891,none
27b,base,damaged_q2,q3_routed_tri_68,math,560,0.7982,0.5696,0.8834,0.9268,0.1054,0.0411,0.3482,0.2607,0.4889,none
27b,base,damaged_q2,q3_routed_tri_68,planning,560,0.8482,0.6339,0.9146,0.9446,0.1054,0.0321,0.2643,0.1071,0.5694,none
27b,base,damaged_q2,q3_routed_tri_68,rhetoric,560,0.8143,0.5643,0.8903,0.9429,0.1179,0.0339,0.3536,0.1893,0.4844,none
27b,base,damaged_q2,q3_routed_tri_68,spatial,560,0.8411,0.6143,0.9057,0.9268,0.0875,0.0446,0.2625,0.1786,0.5492,none
27b,base,damaged_q2,q3_stability_tri_72,adversarial,560,0.8714,0.5893,0.9311,0.9946,0.1179,0.0304,0.3375,0.0393,0.5189,none
27b,base,damaged_q2,q3_stability_tri_72,boundary,560,0.8714,0.5679,0.9261,0.9929,0.1161,0.0518,0.3661,0.0518,0.4908,none
27b,base,damaged_q2,q3_stability_tri_72,coding,560,0.8768,0.6196,0.9274,0.9607,0.1,0.0607,0.2911,0.0625,0.5511,none
27b,base,damaged_q2,q3_stability_tri_72,epistemic,560,0.8304,0.5518,0.9112,0.9732,0.1196,0.0339,0.35,0.0946,0.4764,none
27b,base,damaged_q2,q3_stability_tri_72,forensic,560,0.8536,0.5893,0.9212,0.9857,0.1125,0.0411,0.3179,0.0946,0.5172,none
27b,base,damaged_q2,q3_stability_tri_72,generalist,560,0.8232,0.55,0.9046,0.9464,0.1036,0.0536,0.3714,0.1161,0.4727,none
27b,base,damaged_q2,q3_stability_tri_72,math,560,0.8482,0.5875,0.9074,0.9375,0.0929,0.0446,0.3429,0.1589,0.5153,none
27b,base,damaged_q2,q3_stability_tri_72,planning,560,0.8554,0.6357,0.92,0.9589,0.0982,0.0375,0.275,0.1036,0.5716,none
27b,base,damaged_q2,q3_stability_tri_72,rhetoric,560,0.85,0.5625,0.9061,0.9393,0.0929,0.0429,0.3875,0.1321,0.4885,none
27b,base,damaged_q2,q3_stability_tri_72,spatial,560,0.8661,0.6286,0.9216,0.9518,0.0893,0.0464,0.2696,0.1107,0.5654,none
27b,base,damaged_q2,q4_boundary_pair_72_28,adversarial,560,0.8393,0.5804,0.9109,0.9946,0.1232,0.0304,0.35,0.1393,0.5024,none
27b,base,damaged_q2,q4_boundary_pair_72_28,boundary,560,0.8518,0.5536,0.9126,0.9875,0.125,0.0446,0.3714,0.1071,0.4721,none
27b,base,damaged_q2,q4_boundary_pair_72_28,coding,560,0.6839,0.5232,0.8203,0.8857,0.1036,0.0446,0.2643,0.525,0.4358,none
27b,base,damaged_q2,q4_boundary_pair_72_28,epistemic,560,0.5982,0.4482,0.7845,0.8518,0.1411,0.0161,0.3571,0.5089,0.3487,none
27b,base,damaged_q2,q4_boundary_pair_72_28,forensic,560,0.7375,0.5518,0.8473,0.9929,0.1036,0.0268,0.3107,0.475,0.4668,none
27b,base,damaged_q2,q4_boundary_pair_72_28,generalist,560,0.6054,0.4714,0.7789,0.8375,0.1375,0.0375,0.3286,0.5679,0.368,none
27b,base,damaged_q2,q4_boundary_pair_72_28,math,560,0.5714,0.4196,0.753,0.8196,0.1161,0.0375,0.3589,0.8196,0.3076,none
27b,base,damaged_q2,q4_boundary_pair_72_28,planning,560,0.7,0.5804,0.8067,0.8714,0.1429,0.0232,0.2411,0.5286,0.4871,none
27b,base,damaged_q2,q4_boundary_pair_72_28,rhetoric,560,0.5643,0.4161,0.7479,0.8107,0.1446,0.0321,0.3339,0.7286,0.3031,none
27b,base,damaged_q2,q4_boundary_pair_72_28,spatial,560,0.5946,0.4732,0.7513,0.8054,0.1321,0.0286,0.2661,0.7393,0.3696,none
27b,base,damaged_q2,q4_generalist_pair_72_28,adversarial,560,0.7304,0.5286,0.8538,0.9857,0.1393,0.0161,0.3429,0.4429,0.434,none
27b,base,damaged_q2,q4_generalist_pair_72_28,boundary,560,0.7518,0.4661,0.8444,0.9768,0.1464,0.0357,0.425,0.425,0.3598,none
27b,base,damaged_q2,q4_generalist_pair_72_28,coding,560,0.6464,0.4714,0.8047,0.8929,0.1339,0.0268,0.3161,0.55,0.3731,none
27b,base,damaged_q2,q4_generalist_pair_72_28,epistemic,560,0.6446,0.4714,0.8144,0.9339,0.1214,0.0089,0.3661,0.4946,0.3792,none
27b,base,damaged_q2,q4_generalist_pair_72_28,forensic,560,0.6607,0.4804,0.8052,0.9821,0.1339,0.0214,0.3536,0.625,0.3764,none
27b,base,damaged_q2,q4_generalist_pair_72_28,generalist,560,0.5946,0.4089,0.7847,0.8857,0.1393,0.0286,0.4286,0.5554,0.2994,none
27b,base,damaged_q2,q4_generalist_pair_72_28,math,560,0.6393,0.4839,0.7984,0.9018,0.0964,0.0214,0.3768,0.7054,0.3853,none
27b,base,damaged_q2,q4_generalist_pair_72_28,planning,560,0.7482,0.575,0.8376,0.9214,0.1161,0.025,0.3071,0.4768,0.4868,none
27b,base,damaged_q2,q4_generalist_pair_72_28,rhetoric,560,0.6071,0.425,0.7737,0.8786,0.1179,0.0143,0.4375,0.6839,0.3176,none
27b,base,damaged_q2,q4_generalist_pair_72_28,spatial,560,0.7161,0.5357,0.8278,0.9071,0.0946,0.0232,0.3018,0.5107,0.453,none
27b,base,damaged_q3,q2_amplifier_low_echo,adversarial,560,0.8643,0.4768,0.9122,0.9875,0.0911,0.275,0.2821,0.0607,0.3689,none
27b,base,damaged_q3,q2_amplifier_low_echo,boundary,560,0.9018,0.4929,0.9226,0.9946,0.0732,0.2946,0.2643,0.0429,0.3887,none
27b,base,damaged_q3,q2_amplifier_low_echo,coding,560,0.9179,0.5268,0.926,0.9857,0.0607,0.2875,0.2339,0.0464,0.43,none
27b,base,damaged_q3,q2_amplifier_low_echo,epistemic,560,0.8911,0.525,0.9254,0.9911,0.0679,0.2554,0.2661,0.0518,0.4297,none
27b,base,damaged_q3,q2_amplifier_low_echo,forensic,560,0.9125,0.5036,0.9304,0.9982,0.0661,0.3143,0.2196,0.0393,0.4014,none
27b,base,damaged_q3,q2_amplifier_low_echo,generalist,560,0.8768,0.4893,0.9167,0.9946,0.0768,0.2839,0.2821,0.0536,0.3842,none
27b,base,damaged_q3,q2_amplifier_low_echo,math,560,0.9018,0.4929,0.9194,0.9893,0.0714,0.2893,0.2857,0.0696,0.3872,none
27b,base,damaged_q3,q2_amplifier_low_echo,planning,560,0.8893,0.5107,0.9223,0.9929,0.0839,0.2696,0.2393,0.0429,0.4103,none
