model,substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,q8_k_m,q3_stability_tri_72,high,1400,0.9743,0.845,0.9749,0.9879,0.0193,0.0357,0.1043,0.0479,0.8213,none
27b,base,q8_k_m,q3_stability_tri_72,low,1400,0.9521,0.8821,0.978,0.9857,0.0136,0.0129,0.0636,0.0357,0.8686,none
27b,base,q8_k_m,q3_stability_tri_72,medium,1400,0.9643,0.8643,0.9753,0.9893,0.0157,0.0271,0.0871,0.0543,0.8445,none
27b,base,q8_k_m,q4_boundary_pair_72_28,extreme,1400,0.9664,0.7664,0.9679,0.9936,0.0264,0.065,0.165,0.0564,0.7295,none
27b,base,q8_k_m,q4_boundary_pair_72_28,high,1400,0.97,0.8357,0.9728,0.9893,0.0257,0.0314,0.1171,0.0443,0.8101,none
27b,base,q8_k_m,q4_boundary_pair_72_28,low,1400,0.9529,0.8693,0.9788,0.99,0.0136,0.0179,0.0771,0.0336,0.8538,none
27b,base,q8_k_m,q4_boundary_pair_72_28,medium,1400,0.9779,0.8821,0.979,0.9929,0.0121,0.0221,0.08,0.0486,0.8652,none
27b,base,q8_k_m,q4_generalist_pair_72_28,extreme,1400,0.9593,0.7786,0.9649,0.9914,0.0357,0.0486,0.1571,0.0614,0.7425,none
27b,base,q8_k_m,q4_generalist_pair_72_28,high,1400,0.9679,0.8421,0.9727,0.9936,0.0271,0.0214,0.1164,0.0479,0.818,none
27b,base,q8_k_m,q4_generalist_pair_72_28,low,1400,0.9543,0.8721,0.9779,0.9879,0.0157,0.0093,0.08,0.0321,0.8576,none
27b,base,q8_k_m,q4_generalist_pair_72_28,medium,1400,0.9729,0.885,0.9772,0.9864,0.0193,0.0129,0.0814,0.0393,0.8682,none
27b,degraded_instruct,base_f16,q2_amplifier_low_echo,extreme,1400,0.9207,0.4721,0.9182,0.9914,0.0507,0.3679,0.2343,0.0636,0.3614,none
27b,degraded_instruct,base_f16,q2_amplifier_low_echo,high,1400,0.9429,0.575,0.9417,0.9886,0.0371,0.2907,0.1643,0.05,0.4901,none
27b,degraded_instruct,base_f16,q2_amplifier_low_echo,low,1400,0.925,0.6321,0.9499,0.9929,0.0364,0.2293,0.1179,0.0379,0.564,none
27b,degraded_instruct,base_f16,q2_amplifier_low_echo,medium,1400,0.9421,0.6171,0.9485,0.9893,0.0386,0.2664,0.1229,0.0357,0.5407,none
27b,degraded_instruct,base_f16,q3_routed_tri_68,extreme,1400,0.9671,0.7707,0.9668,0.9857,0.0264,0.0729,0.1479,0.0586,0.7335,none
27b,degraded_instruct,base_f16,q3_routed_tri_68,high,1400,0.975,0.84,0.972,0.995,0.0214,0.0386,0.1136,0.0643,0.8136,none
27b,degraded_instruct,base_f16,q3_routed_tri_68,low,1400,0.9529,0.8707,0.9792,0.9893,0.0136,0.0264,0.065,0.0336,0.8545,none
27b,degraded_instruct,base_f16,q3_routed_tri_68,medium,1400,0.9679,0.8657,0.9747,0.9893,0.0186,0.0379,0.08,0.0564,0.8434,none
27b,degraded_instruct,base_f16,q3_stability_tri_72,extreme,1400,0.9743,0.7936,0.9701,0.9857,0.0229,0.0686,0.1386,0.0493,0.7595,none
27b,degraded_instruct,base_f16,q3_stability_tri_72,high,1400,0.9736,0.8343,0.9728,0.985,0.0229,0.0436,0.1079,0.0479,0.8077,none
27b,degraded_instruct,base_f16,q3_stability_tri_72,low,1400,0.9614,0.8714,0.9818,0.99,0.0107,0.0286,0.0671,0.0279,0.8557,none
27b,degraded_instruct,base_f16,q3_stability_tri_72,medium,1400,0.9671,0.8557,0.976,0.9907,0.02,0.0429,0.0757,0.0493,0.8326,none
27b,degraded_instruct,base_f16,q4_boundary_pair_72_28,extreme,1400,0.9714,0.7779,0.97,0.9907,0.0243,0.0664,0.1514,0.0507,0.7426,none
27b,degraded_instruct,base_f16,q4_boundary_pair_72_28,high,1400,0.9693,0.8421,0.973,0.9879,0.0243,0.0386,0.1036,0.0493,0.8164,none
27b,degraded_instruct,base_f16,q4_boundary_pair_72_28,low,1400,0.95,0.8736,0.9788,0.9907,0.0164,0.0171,0.0636,0.035,0.8584,none
27b,degraded_instruct,base_f16,q4_boundary_pair_72_28,medium,1400,0.9786,0.8936,0.9791,0.9886,0.0079,0.0271,0.0693,0.0543,0.8775,none
