signal,signal_strength,combo_size,combo,pass_rate,mean_score,packet_received_rate,classified_rate,route_rate,cascade_rate,avg_missing,avg_distractors,structural_survival,avg_structural_repairs,avg_functional_repairs,worst_task_rate
lora_candidate,0.78,7,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+SUPPRESSION+STATE_BUFFER,0.8184,0.8581,0.7166,0.7539,0.0,0.0118,0.0523,0.7089,0.7194,0.3212,0.0084,0.7871
kv_packet,0.64,9,FRAME+CLOCK+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8184,0.8621,0.6396,0.7557,0.0,0.0054,0.0479,0.5445,0.7838,0.4118,0.0121,0.7843
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+REDUNDANCY+STATE_BUFFER+GAIN_CLAMP,0.8171,0.8566,0.738,0.7932,0.0,0.0013,0.062,0.8741,0.8318,0.0,0.0,0.8014
kv_packet,0.64,8,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+REDUNDANCY+STATE_BUFFER+GAIN_CLAMP,0.8155,0.8565,0.723,0.7609,0.0,0.0014,0.0445,0.8325,0.8501,0.3291,0.0139,0.8
kv_packet,0.64,7,FRAME+CLOCK+CARRIER+CHECKSUM+REDUNDANCY+SUPPRESSION+STATE_BUFFER,0.8127,0.8579,0.7023,0.7396,0.0,0.0048,0.0623,0.65,0.7789,0.0,0.0,0.7871
kv_packet,0.64,8,FRAME+CLOCK+CARRIER+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+GAIN_CLAMP,0.8114,0.8602,0.7346,0.7175,0.0,0.0234,0.0638,0.545,0.8075,0.0,0.0,0.7871
kv_packet,0.64,8,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+SUPPRESSION+STATE_BUFFER,0.8096,0.8535,0.6939,0.7321,0.0,0.0127,0.0563,0.6637,0.7056,0.518,0.0118,0.7757
rag_like,0.48,8,FRAME+CLOCK+CARRIER+CHECKSUM+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8079,0.8573,0.6804,0.7132,0.0,0.0027,0.0807,0.5091,0.7848,0.0,0.0,0.7814
lora_candidate,0.78,10,FRAME+CLOCK+CARRIER+ROUTER+PARITY+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8079,0.875,0.7634,0.8779,0.6068,0.0088,0.2796,0.2371,0.8109,0.0,0.0,0.7543
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+COMPRESSION+GAIN_CLAMP,0.8027,0.8497,0.7482,0.7389,0.0,0.0091,0.0591,0.8502,0.7714,0.5613,0.0096,0.7857
kv_packet,0.64,7,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+SUPPRESSION+GAIN_CLAMP,0.7932,0.8482,0.6877,0.6914,0.0,0.0189,0.065,0.5855,0.7327,0.3154,0.0077,0.7671
