model,substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
2b_reference,base,damaged_q3,routed_tri_structural_65,5600,0.8507,0.6104,0.9196,0.9652,0.1113,0.047,0.2982,0.088,0.5393,none
2b_reference,base,damaged_q3,stability_first_tri_70,5600,0.8557,0.6145,0.9216,0.9673,0.1109,0.0346,0.2943,0.0816,0.5466,none
2b_reference,base,damaged_q4,cognitive_structural_25_75,5600,0.8927,0.6768,0.941,0.9827,0.0811,0.0209,0.2546,0.0595,0.6249,none
2b_reference,base,damaged_q4,cyber_structural_25_75,5600,0.8686,0.6704,0.9302,0.9561,0.0941,0.0312,0.2384,0.0711,0.6133,none
2b_reference,base,damaged_q4,q2_structural_amplifier,5600,0.8898,0.4966,0.9199,0.9904,0.082,0.2823,0.2673,0.0455,0.3919,none
2b_reference,base,damaged_q4,routed_tri_structural_60,5600,0.8954,0.6752,0.9434,0.9911,0.0855,0.0437,0.2402,0.0532,0.6189,none
2b_reference,base,damaged_q4,routed_tri_structural_65,5600,0.9012,0.6789,0.946,0.9909,0.0795,0.045,0.2311,0.0525,0.625,none
2b_reference,base,damaged_q4,stability_first_tri_70,5600,0.9041,0.675,0.9462,0.9914,0.0761,0.0405,0.2473,0.0514,0.6217,none
2b_reference,base,healthy_q6,cognitive_structural_25_75,5600,0.9239,0.7498,0.9564,0.99,0.058,0.0209,0.1857,0.0493,0.7109,none
2b_reference,base,healthy_q6,cyber_structural_25_75,5600,0.927,0.7604,0.9581,0.9911,0.0555,0.0323,0.1686,0.052,0.7211,none
2b_reference,base,healthy_q6,q2_structural_amplifier,5600,0.9014,0.5352,0.9276,0.988,0.067,0.2834,0.2164,0.0462,0.4388,none
2b_reference,base,healthy_q6,routed_tri_structural_60,5600,0.9286,0.7479,0.9582,0.9902,0.0546,0.0446,0.1723,0.0505,0.7062,none
2b_reference,base,healthy_q6,routed_tri_structural_65,5600,0.9293,0.7512,0.9577,0.9902,0.0557,0.0409,0.1718,0.0512,0.7101,none
2b_reference,base,healthy_q6,stability_first_tri_70,5600,0.9343,0.7521,0.9606,0.9925,0.0514,0.0425,0.1745,0.0468,0.7119,none
2b_reference,base,healthy_q8,cognitive_structural_25_75,5600,0.9461,0.7961,0.9654,0.9905,0.0362,0.0214,0.15,0.0502,0.7664,none
2b_reference,base,healthy_q8,cyber_structural_25_75,5600,0.9464,0.7896,0.9656,0.99,0.038,0.0334,0.1482,0.0475,0.7573,none
2b_reference,base,healthy_q8,q2_structural_amplifier,5600,0.9118,0.5482,0.9309,0.9905,0.06,0.2827,0.1941,0.0507,0.4556,none
2b_reference,base,healthy_q8,routed_tri_structural_60,5600,0.9446,0.7741,0.9645,0.9904,0.0395,0.0455,0.1545,0.0488,0.7384,none
2b_reference,base,healthy_q8,routed_tri_structural_65,5600,0.9479,0.7832,0.9662,0.9898,0.0359,0.0448,0.1448,0.0482,0.7495,none
2b_reference,base,healthy_q8,stability_first_tri_70,5600,0.9455,0.7904,0.9661,0.9893,0.0379,0.0386,0.1398,0.047,0.7578,none
2b_reference,degraded_instruct,collapsed_q2_edge,cognitive_structural_25_75,5600,0.0548,0.0402,0.2483,0.5332,0.5045,0.0236,0.5864,2.7707,-0.3013,cascade
2b_reference,degraded_instruct,collapsed_q2_edge,cyber_structural_25_75,5600,0.0634,0.0477,0.2584,0.5145,0.5,0.0361,0.5516,2.6704,-0.2872,cascade
2b_reference,degraded_instruct,collapsed_q2_edge,q2_structural_amplifier,5600,0.4284,0.2198,0.6463,0.7423,0.2434,0.2896,0.5425,0.8477,0.0031,cascade
2b_reference,degraded_instruct,collapsed_q2_edge,routed_tri_structural_60,5600,0.1086,0.0764,0.3313,0.6038,0.4418,0.0471,0.5573,2.3368,-0.227,cascade
2b_reference,degraded_instruct,collapsed_q2_edge,routed_tri_structural_65,5600,0.1316,0.0927,0.3697,0.622,0.41,0.0466,0.5552,2.1698,-0.1925,cascade
2b_reference,degraded_instruct,collapsed_q2_edge,stability_first_tri_70,5600,0.1382,0.1011,0.3893,0.6286,0.4014,0.0448,0.55,2.0591,-0.1753,cascade
2b_reference,degraded_instruct,damaged_q2,cognitive_structural_25_75,5600,0.203,0.1511,0.4777,0.6898,0.3,0.0223,0.4871,1.76,-0.0704,cascade
2b_reference,degraded_instruct,damaged_q2,cyber_structural_25_75,5600,0.2443,0.173,0.504,0.6875,0.2989,0.0366,0.4716,1.6109,-0.0422,cascade
2b_reference,degraded_instruct,damaged_q2,q2_structural_amplifier,5600,0.6971,0.3446,0.8179,0.848,0.1582,0.2914,0.4579,0.2232,0.1911,none
2b_reference,degraded_instruct,damaged_q2,routed_tri_structural_60,5600,0.325,0.2295,0.5882,0.7714,0.26,0.0498,0.4705,1.305,0.0386,cascade
2b_reference,degraded_instruct,damaged_q2,routed_tri_structural_65,5600,0.3732,0.2548,0.6214,0.775,0.2432,0.0489,0.4627,1.1657,0.0768,none
2b_reference,degraded_instruct,damaged_q2,stability_first_tri_70,5600,0.4089,0.2812,0.6492,0.7873,0.235,0.043,0.4639,1.0436,0.1128,none
2b_reference,degraded_instruct,damaged_q3,cognitive_structural_25_75,5600,0.7284,0.5327,0.8446,0.9145,0.1334,0.0232,0.3357,0.3775,0.4423,none
2b_reference,degraded_instruct,damaged_q3,cyber_structural_25_75,5600,0.7171,0.53,0.8378,0.8741,0.1355,0.0407,0.3084,0.3632,0.4384,none
2b_reference,degraded_instruct,damaged_q3,q2_structural_amplifier,5600,0.8552,0.4504,0.903,0.9752,0.1077,0.2843,0.3352,0.0491,0.3319,none
2b_reference,degraded_instruct,damaged_q3,routed_tri_structural_60,5600,0.8177,0.5721,0.8985,0.9393,0.1143,0.0489,0.3109,0.1589,0.4953,none
2b_reference,degraded_instruct,damaged_q3,routed_tri_structural_65,5600,0.8255,0.5902,0.9054,0.9461,0.122,0.0512,0.2927,0.1255,0.5136,none
2b_reference,degraded_instruct,damaged_q3,stability_first_tri_70,5600,0.8473,0.5977,0.9159,0.9529,0.1089,0.0454,0.3104,0.0914,0.5265,none
2b_reference,degraded_instruct,damaged_q4,cognitive_structural_25_75,5600,0.882,0.6714,0.9366,0.9795,0.0909,0.0243,0.2516,0.0639,0.616,none
2b_reference,degraded_instruct,damaged_q4,cyber_structural_25_75,5600,0.8812,0.668,0.9323,0.9496,0.0777,0.0371,0.2448,0.0754,0.6139,none
2b_reference,degraded_instruct,damaged_q4,q2_structural_amplifier,5600,0.8841,0.4886,0.9177,0.99,0.088,0.2796,0.2804,0.0445,0.3816,none
2b_reference,degraded_instruct,damaged_q4,routed_tri_structural_60,5600,0.8973,0.6673,0.9436,0.9857,0.0813,0.0514,0.2416,0.0529,0.6107,none
2b_reference,degraded_instruct,damaged_q4,routed_tri_structural_65,5600,0.9009,0.6793,0.945,0.9877,0.0807,0.0482,0.2355,0.0509,0.624,none
2b_reference,degraded_instruct,damaged_q4,stability_first_tri_70,5600,0.9045,0.6759,0.9467,0.9886,0.078,0.0475,0.2384,0.0468,0.6216,none
2b_reference,degraded_instruct,healthy_q6,cognitive_structural_25_75,5600,0.9289,0.7484,0.9572,0.9907,0.0541,0.0245,0.1882,0.0511,0.7097,none
2b_reference,degraded_instruct,healthy_q6,cyber_structural_25_75,5600,0.9291,0.7575,0.9583,0.9904,0.0575,0.0329,0.1734,0.0466,0.7175,none
2b_reference,degraded_instruct,healthy_q6,q2_structural_amplifier,5600,0.9154,0.527,0.9302,0.9918,0.0605,0.2943,0.2134,0.0421,0.4308,none
2b_reference,degraded_instruct,healthy_q6,routed_tri_structural_60,5600,0.9261,0.7343,0.9574,0.9907,0.0555,0.0532,0.1823,0.0495,0.6899,none
2b_reference,degraded_instruct,healthy_q6,routed_tri_structural_65,5600,0.9255,0.7384,0.9567,0.9909,0.0546,0.0484,0.1787,0.0568,0.6952,none
2b_reference,degraded_instruct,healthy_q6,stability_first_tri_70,5600,0.9296,0.738,0.9579,0.9893,0.0518,0.0455,0.1811,0.0505,0.6964,none
2b_reference,degraded_instruct,healthy_q8,cognitive_structural_25_75,5600,0.9496,0.7945,0.9666,0.9886,0.0341,0.0255,0.1548,0.0452,0.7645,none
2b_reference,degraded_instruct,healthy_q8,cyber_structural_25_75,5600,0.9507,0.7927,0.9674,0.9909,0.0362,0.0345,0.1479,0.0434,0.7609,none
