model,substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,degraded_instruct,collapsed_q2_edge,cyber_structural_25_75,high,1400,0.3071,0.2293,0.5522,0.7407,0.2464,0.03,0.4264,1.5143,0.0395,cascade
27b,degraded_instruct,collapsed_q2_edge,cyber_structural_25_75,low,1400,0.3964,0.3114,0.703,0.8171,0.1336,0.0229,0.2036,0.7343,0.2138,none
27b,degraded_instruct,collapsed_q2_edge,cyber_structural_25_75,medium,1400,0.3793,0.2964,0.6239,0.7821,0.1857,0.0264,0.3329,1.2114,0.1482,none
27b,degraded_instruct,collapsed_q2_edge,q2_structural_amplifier,extreme,1400,0.6671,0.2286,0.7998,0.8671,0.1686,0.37,0.6171,0.2314,0.0431,distractor_capture
27b,degraded_instruct,collapsed_q2_edge,q2_structural_amplifier,high,1400,0.745,0.335,0.8417,0.8821,0.1407,0.2929,0.4479,0.1721,0.1898,none
27b,degraded_instruct,collapsed_q2_edge,q2_structural_amplifier,low,1400,0.8743,0.5486,0.9206,0.9443,0.065,0.2243,0.2257,0.0486,0.4637,none
27b,degraded_instruct,collapsed_q2_edge,q2_structural_amplifier,medium,1400,0.8043,0.4279,0.8797,0.9114,0.1171,0.2729,0.3193,0.0986,0.3077,none
27b,degraded_instruct,collapsed_q2_edge,routed_tri_structural_60,extreme,1400,0.345,0.1779,0.5826,0.785,0.2821,0.0743,0.6707,1.4457,-0.0476,cascade
27b,degraded_instruct,collapsed_q2_edge,routed_tri_structural_60,high,1400,0.3971,0.2671,0.6232,0.8114,0.2171,0.0507,0.4414,1.2414,0.0945,none
27b,degraded_instruct,collapsed_q2_edge,routed_tri_structural_60,low,1400,0.555,0.4321,0.7946,0.8893,0.1057,0.02,0.23,0.4786,0.3541,none
27b,degraded_instruct,collapsed_q2_edge,routed_tri_structural_60,medium,1400,0.5129,0.3929,0.7183,0.8414,0.1614,0.0493,0.3129,0.8479,0.2671,none
27b,degraded_instruct,collapsed_q2_edge,routed_tri_structural_65,extreme,1400,0.3821,0.1836,0.6148,0.7764,0.2679,0.0836,0.6421,1.265,-0.0281,cascade
27b,degraded_instruct,collapsed_q2_edge,routed_tri_structural_65,high,1400,0.4493,0.33,0.6626,0.8486,0.2214,0.0407,0.42,1.0693,0.1684,none
